Name,Order,Is_Fajr,Url
الله أكبر,1,0,allah-akbar.png
الله أكبر,2,0,allah-akbar.png
أشهد أن لا اله الا الله,3,0,ashad-an-la-ellah-ela-allah.png
أشهد أن لا اله الا الله,4,0,ashad-an-la-ellah-ela-allah.png
أشهد أن محمداً رسول الله,5,0,ashad-an-mohammed-rasoul-allah.png
أشهد أن محمداً رسول الله,6,0,ashad-an-mohammed-rasoul-allah.png
حى على الصلاة,7,0,hay-3la-salah.png
حى على الصلاة,8,0,hay-3la-salah.png
حى على الفلاح,9,0,hay-3la-falah.png
حى على الفلاح,10,0,hay-3la-falah.png
الصلاة خير من النوم,11,1,salah-khair-mn-alnawm.png
الصلاة خير من النوم,12,1,salah-khair-mn-alnawm.png
الله أكبر,13,0,allah-akbar.png
لا اله الا الله,14,0,la-ila-illa-allah.png
