post_content,post_type,post_date,ID,seen
من صَلُحَتْ صلاته صلح سائر عمله وفاز فوزا عظيما بصدق قول النبي – صلى الله عليه وسلم – من حديث أبي هريرة – رضي الله عنه - ) إِنَّ أَوَّلَ مَا يُحَاسَبُ بِهِ الْعَبْدُ يَوْمَ الْقِيَامَةِ مِنْ عَمَلِهِ صَلَاتُهُ فَإِنْ صَلُحَتْ فَقَدْ أَفْلَحَ وَأَنْجَحَ وَإِنْ فَسَدَتْ فَقَدْ خَابَ وَخَسِرَ) صحيح,post,2014-11-08 18:38:53,6,
أطل في الصلاة منفردا ولا تطل إن كنت إماما فهو أقرب للإخلاص وصلاة الفرد والنافلة أرجى للخشوع,post,2014-11-08 18:48:01,7,
إحفظ أذكار الصلاة المأثورة عن النبي – صلى الله عليه وسلم – بأنواعها ورددها لتعيش مع الصلاة وتصلّي كما صلّى,post,2014-11-08 18:48:01,8,
إذا لم تسع في زيادة خشوعك فسيهاجم الشيطان خشوعك الحالي ليقل ويتضاءل لتتحول صلاتك إلى عبء ثقيل ثم تكسل وتؤخر وقتها والحل أن تعلو لكيلا تهبط وتزيد لكيلا تنقص وتتطلع إلى مقام أعلى وأخشع,post,2014-11-08 18:48:01,9,
إعلم أن هناك أوقات يكون قلبك أكثر استعدادا وقبولا وأطهر روحا فالتمس تلك الأوقات واعط قلبك حظه من الصلاة فيها,post,2014-11-08 18:48:01,10,
التنوع أساس لأن التكرار أول طريق الملل والسهو والغفلة فغيّر أذكار الصلاة وتفكّر في معانيها ولا تُكرر نفس الأذكار في كل صلواتك,post,2014-11-08 18:48:01,11,
الخشوع تذلل القلوب لعلام الغيوب والقلب أمير البدن فإذا خشع القلب خشع السمع والبصر والوجه وسائر الأعضاء وما نشأ عنها حتى الكلام,post,2014-11-08 18:48:01,12,
الخشوع من الإيمان والإيمان يزيد وينقص والخشوع يزيد وينقص وبقدر عملك الصالح في يوم يكون خشوعك,post,2014-11-08 18:48:01,13,
الخشوع يقظة حتى لا يلتفت القلب وهو من أنفع العلوم وأجلّها لذا كان النبي – صلى الله عليه وسلم - يستعيذ من قلب لا يخشع لأن القلب الذي لا يخشع علمه لا ينفع ودعاؤه لا يسمع,post,2014-11-08 18:48:01,14,
تربي نفسك على المسئولية الفردية والمحاسبة الفردية والتهيؤ للوقوف بين يدي الله سبحانه وتعالى يوم القيامة كما وقفت بين يديه في الصلاة في الدنيا,post,2014-11-08 18:48:01,15,
جوف الليل أخشع وأحب للرب وأقرب للرحمة وأبعد عن الأشغال وأدنى للإخلاص ويستقبل الله فيه كلام من أحبّه وناجاه,post,2014-11-08 18:48:01,16,
سر الصلاة وروحها ولُبّها هو إقبالك على الله بكل ذرة من كيانك ولا ينبغي أن تصرف قلبك عن ربك إلى غيره في الصلاة,post,2014-11-08 18:48:01,17,
فالكوب الممتلئ لا يقبل المزيد إلا إذا فرّغته والقلب لا تدخله معاني الصلاة إلا إذا فرغته من هموم الدنيا,post,2014-11-08 18:48:01,18,
فليست الصلاة حركات تستغرق ساعة من اليوم وينقضي الأمر وتنسى معاني الصلاة لكنها حركة تصحيح وثورة تغيير تستهدف تعديل مسار الحياة لتعيد صياغتها على عين الله,post,2014-11-08 18:48:01,19,
قال الإمام أحمد بن حنبل ' إنما قدرهم من الإسلام على قدر حظهم من الصلاة ورغبتهم في الإسلام على قدر رغبتهم في الصلاة فاعرف نفسك واحذر أن تلقى الله ولا قدر للإسلام عندك فإن قدر الإسلام في قلبك كقدر الصلاة في قلبك     ',post,2014-11-08 18:48:01,20,
قلما تجتمع الجودة مع السرعة فأعط الصلاة حقها ولا تستعجل في آدائها ولا تسرق منها فإنما تسرق من خشوعك وإيمانك,post,2014-11-08 18:48:01,21,
قم إلى الصلاة متى سمعت النداء وبكّر إليها لتطرد هم الدنيا واعلم أن خشوعك سيكون مكافأتك,post,2014-11-08 18:48:01,22,
لا تقرأ بسرعة وتنسى بل اقرأ القليل وتشرّب معانيه واعمل به تصل إلى الكثير بإذن الله,post,2014-11-08 18:48:01,23,
لا تنشغل في صلاتك بدنياك واقض حاجتك قبل دخولك في الصلاة لتصلي بقلب فارغ خاشغ,post,2014-11-08 18:48:01,24,
من صَلُحَتْ صلاته صلح سائر عمله وفاز فوزا عظيما بصدق قول النبي – صلى الله عليه وسلم – من حديث أبي هريرة – رضي الله عنه - ) إِنَّ أَوَّلَ مَا يُحَاسَبُ بِهِ الْعَبْدُ يَوْمَ الْقِيَامَةِ مِنْ عَمَلِهِ صَلَاتُهُ فَإِنْ صَلُحَتْ فَقَدْ أَفْلَحَ وَأَنْجَحَ وَإِنْ فَسَدَتْ فَقَدْ خَابَ وَخَسِرَ) صحيح,post,2014-11-08 18:48:01,25,
هل ذقت يوما طعم قول حبيبك – صلى الله عليه وسلم – ' وَجُعِلَتْ قُرَّةُ عَيْنِي فِي الصَّلاةِ     ',post,2014-11-08 18:48:01,26,
اجعل الكعبة قبلة وجهك وبدنك ورب الكعبة قبلة روحك و قلبك واعلم أنه على قدر إقبالك على الله يكون إقبال الله عليك وإذا أعرضت أعرض الله عنك,post,2014-11-08 18:48:02,27,
اعلم يا أخي أن الخشوع قيام القلب بين يدي الرب بالخضوع والذل ، ورقة القلب وسكونه وانكساره وحرقته.,post,2014-11-08 18:48:02,28,
العبادة على رؤوس العباد أحلى من التيجان على رؤوس الملوك.,post,2014-11-08 18:48:02,29,
القلب أمير البدن. فإذا خشع القلب .. خشع السمع والبصر والوجه وكل الأعضاء.. حتى الكلام.,post,2014-11-08 18:48:02,30,
صار لرب العرش حين صلاته نجيّا فيا طوباه لو كان يخشع,post,2014-11-08 18:48:02,31,
قال أبو الدرداء : استعيذوا بالله من خشوع النفاق. قالوا: وما خشوع النفاق؟ قال : أن ترى الجسد خاشعا والقلب ليس بخاشع.,post,2014-11-08 18:48:02,32,
قال ابن كثير: والخشوع في الصلاة إنما يحصل لمن فرّغ قلبه لها.. واشتغل بها عما عداها ، وآثرها على غيرها ، وحينئذ تكون راحة له وقرة له.,post,2014-11-08 18:48:02,33,
قال الجنيد : الخشوع تذلل القلوب لعلام الغيوب.,post,2014-11-08 18:48:02,34,
قال الحسن رحمه الله: إياك أن ينظر الله إليك وتنظر إلى غيره .. وتسأل الله الجنة وتعوذ به من النار.. وقلبك ساه لا تدري ما تقول بلسانك.,post,2014-11-08 18:48:02,35,
قال بعض السلف : الصلاة كجارية تهدى إلى ملك من الملوك ، فما الظن بمن يهدى إليه جارية شلاء أو عوراء ...فكيف بصلاة العبد والتي يتقرب بها إلى الله.,post,2014-11-08 18:48:02,36,
قال حذيفة رضي الله عنه : أول ما تفقدون من دينكم الخشوع ، وآخر ما تفقدون من دينكم : الصلاة.,post,2014-11-08 18:48:02,37,
قال سعيد بن جبير في قوله تعالى : ( الذين هم في صلاتهم خاشعون) يعني : متواضعون. لا يعرف من عن يمينه ولا من عن شماله ولا يلتفت من الخشوع لله تعالى.,post,2014-11-08 18:48:02,38,
كان خلف بن أيوب لا يطرد الذباب عن وجهه في الصلاة فقيل له :كيف تصبر؟. قال : بلغني أن الفسّاق يتصبرون تحت السياط ليقال : فلان صبور. وأنا بين يدي ربي ، أفلا أصبر على ذباب يقع علي؟.!!,post,2014-11-08 18:48:02,39,
كان ذو النون يقول في وصف العبّاد : لو رأيت أحدهم وقد قام إلى صلاته ، فلما وقف في محرابه ، واستفتح كلام سيده، خطر على قلبه أن ذلك المقام هو المقام الذي يقوم فيه الناس لرب العالمين ، فانخلع قلبه وذهل عقله.,post,2014-11-08 18:48:02,40,
من الإقبال على الله في الصلاة إقبال العبد على الله بتعظيمه ومراقبته فيعبده عبادة من يراه ويقف بين يديه,post,2014-11-08 18:48:02,41,
من الإقبال على الله في الصلاة إقباله على معاني كلام الله وتدبره للقرآن ولأذكار الصلاة,post,2014-11-08 18:48:02,42,
نسأل الله أن نكون من أهله الخاشعين.,post,2014-11-08 18:48:02,43,
وتمام الخضوع : أن يخضع القلب لله ويذل له ، فيتم بذلك خضوع العبد بباطنه وظاهره لله عز وجل ، ولهذا كان النبي صلى الله عليه وسلم يقول في ركوعه : ( خشع لك سمعي وبصري ومخي وعظمي وما استقلت به قدمي).,post,2014-11-08 18:48:02,44,
ومن الإقبال على الله في الصلاة إقبال العبد على قلبه ليحفظه من الشهوات والوساوس والخواطر الدنيوية التي قد تبطل الصلاة أو تنقص من أجرها,post,2014-11-08 18:48:02,45,
ومن تمام الخشوع لله تعالى في الركوع والسجود : أنه إذا ذلّ لربه بالركوع والسجود وصف ربّه حينئذ بصفات العز والكبرياء. فكأنه يقول : الذل والتواضع وصفي.. والعلو والعظمة والكبرياء وصفك.,post,2014-11-08 18:48:02,46,
تزوج الحارث ابن حسان وكان له صحبة فقيل: أتخرج وإنما بنيت بأهلك في هذه الليلة- أي أنها ليلة زواجه - ؟ فقال: والله إن امرأة تمنعني من صلاة الغداة في جمع لامرأة سوء.,post,2014-11-08 18:48:03,47,
جاء عمر بن الخطاب إلى سعيد بن يربوع فعزّاه في بصره وقال : لا تدع الجمعة ولا الصلاة في مسجد رسول الله صلى الله عليه وسلم .. انظر إلى حرصهم على صلاة الجماعة.,post,2014-11-08 18:48:03,48,
رحم الله رجالا نصبوا أبدانهم لخدمة مولاهم ..وكابدوا العبادة حتى استمتعوا بها.,post,2014-11-08 18:48:03,49,
قال أبو الدرداء في مرضه الذي مات فيه : اسمعوا وبلّغوا من خلفكم : حافظوا على هاتين الصلاتين العشاء والصبح ولو تعلمون ما فيهما لأتيتموها ولو حبوا على مرافقكم وركبكم.,post,2014-11-08 18:48:03,50,
قال أحد العباد : ما سمعت النداء إلا تذكرت هول النداء بالعرض على الله يوم القيامة.,post,2014-11-08 18:48:03,51,
قال ابن المسيب : ما فاتتني الصلاة في جماعة منذ أربعين سنة.,post,2014-11-08 18:48:03,52,
قال ابن مسعود: ولقد رأيتنا وما يتخلف عنها إلا منافق معلوم النفاق. ولقد كان الرجل يؤتى به يهادى بين رجلين حتى يقام في الصف.,post,2014-11-08 18:48:03,53,
قال الذهبي في السير: كان عامر بن عبد قيس يصلي من طلوع الشمس إلى العصر فينصرف وقد انتفخت ساقاه فيقول: يا أمارة السوء إنما خلقت للعبادة.,post,2014-11-08 18:48:03,54,
قال سعيد بن المسيب: من حافظ على الصلوات الخمس في جماعة فقد ملأ البر والبحر عبادة.,post,2014-11-08 18:48:03,55,
قال عدي: ما دخل وقت صلاة حتى أشتاق إليها.,post,2014-11-08 18:48:03,56,
قيل لسعيد بن المسيب : إن طارقا يريد قتلك اجلس في بيتك. فقال : اسمع حي على الفلاح فلا أجيب.,post,2014-11-08 18:48:03,57,
قيل لعامر بن عبد قيس : أتسهو في صلاتك.؟ فقال : أو حديث أحب إلي من القرآن حتى أشتغل به .,post,2014-11-08 18:48:03,58,
قيل لنافع : ما كان يصنع ابن عمر في منزله؟ قال : لا تطيقونه.. الوضوء لكل صلاة والمصحف فيما بينهما.,post,2014-11-08 18:48:03,59,
كان أبي عبدالرحمن السلمي يحمل وهو مريض إلى المسجد.,post,2014-11-08 18:48:03,60,
نقل البخاري عن الأسود .. أنه إذا فاتته الجماعة ذهب إلى مسجد آخر.,post,2014-11-08 18:48:03,61,
وعن نافع : أن ابن عمر كان إذا فاتته العشاء في جماعة أحيا بقية ليلته.,post,2014-11-08 18:48:03,62,
وكان إبراهيم يمكث بعد الصلاة ساعة كأنه مريض.,post,2014-11-08 18:48:03,63,
